task_slug,model,leaderboard_score,platform_score,completed_mean,diff_vs_platform,n_rows_csv,completion,budget_failure,other_failure
t10-msv_dpp_sequence,gemma-3-1b-it,0.0331,0.0331,0.4417,0.0,6,6/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (33844) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t10-msv_dpp_sequence,gemma-3-27b-it,0.1437,0.1437,0.5,0.0,23,23/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (131096) exceeds the maximum number of tokens allowed (131072).', 'type': 'invalid_request_error'}"
t10-msv_dpp_sequence,gemma-3-4b-it,0.0,,0.0,,5,5/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (33798) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t10-msv_dpp_sequence,gemma-4-26b-a4b-it,0.05,0.05,1.0,0.0,4,4/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t10-msv_dpp_sequence,gemma-4-31b-it,0.0531,0.0531,0.85,0.0,5,5/80,True,
t10-msv_dpp_sequence,glm-5,0.1275,0.1275,0.7286,0.0,14,14/80,True,
t10-msv_dpp_sequence,gpt-5.4-2026-03-05,0.6175,0.6175,0.7265,0.0,68,68/80,True,
t10-msv_dpp_sequence,gpt-5.4-mini-2026-03-17,0.385,0.385,0.56,0.0,55,55/80,False,context_length
t10-msv_dpp_sequence,gpt-5.4-nano-2026-03-17,0.225,0.225,0.3913,0.0,46,46/80,False,context_length
t10-msv_dpp_sequence,gpt-oss-20b,0.1681,0.1681,0.4203,0.0,32,32/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': '[{""error"":{""code"":400,""message"":""The input (131515 tokens) is longer than the model\'s context length (131072 tokens)."",""status"":""INVAL"
t10-msv_dpp_sequence,qwen3-235b-a22b-instruct-2507,0.1456,0.1456,0.7281,0.0,16,16/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': '[{""error"":{""code"":400,""message"":""The input (264653 tokens) is longer than the model\'s context length (262144 tokens)."",""status"":""INVAL"
t10-msv_dpp_sequence,qwen3-coder-480b-a35b-instruct,0.4569,0.4569,0.4569,0.0,80,80/80,False,
t10-msv_dpp_sequence,qwen3-next-80b-a3b-instruct,0.0569,0.0569,0.65,0.0,7,7/80,True,
t10-msv_dpp_sequence,qwen3-next-80b-a3b-thinking,0.0213,0.0213,0.85,0.0,2,2/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t11-msv_mc_binary_pairs,claude-haiku-4-5-20251001,0.5,0.5,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,claude-opus-4-1-20250805,0.2021,0.2021,,0.0,63,63/160,True,
t11-msv_mc_binary_pairs,claude-opus-4-6-default,0.1062,0.1062,,0.0,34,34/160,True,
t11-msv_mc_binary_pairs,deepseek-r1-0528,0.0808,0.0808,,0.0,23,23/160,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t11-msv_mc_binary_pairs,deepseek-v3.2,0.6721,0.6721,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,gemini-2.0-flash-lite-001,0.5866,0.5866,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,gemini-2.5-flash,0.2963,0.2963,,0.0,84,84/160,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t11-msv_mc_binary_pairs,gemini-3.1-pro-preview,0.1969,0.1969,,0.0,63,63/160,True,
t11-msv_mc_binary_pairs,gemma-3-12b-it,0.3732,0.3732,,0.0,124,124/160,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32877) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t11-msv_mc_binary_pairs,gemma-3-1b-it,0.3875,0.3875,,0.0,124,124/160,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32966) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t11-msv_mc_binary_pairs,gemma-3-27b-it,0.5111,0.5111,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,gemma-3-4b-it,0.345,0.345,,0.0,124,124/160,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32877) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t11-msv_mc_binary_pairs,gemma-4-26b-a4b-it,0.2629,0.2629,,0.0,85,85/160,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t11-msv_mc_binary_pairs,gemma-4-31b-it,0.1688,0.1688,,0.0,54,54/160,True,
t11-msv_mc_binary_pairs,glm-5,0.175,0.175,,0.0,56,56/160,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t11-msv_mc_binary_pairs,gpt-5.4-2026-03-05,0.5052,0.5052,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,gpt-5.4-mini-2026-03-17,0.6148,0.6148,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,gpt-5.4-nano-2026-03-17,0.591,0.591,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,gpt-oss-20b,0.4566,0.4566,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,qwen3-235b-a22b-instruct-2507,0.5,0.5,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,qwen3-coder-480b-a35b-instruct,0.579,0.579,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,qwen3-next-80b-a3b-instruct,0.6166,0.6166,,0.0,160,160/160,False,
t11-msv_mc_binary_pairs,qwen3-next-80b-a3b-thinking,0.4362,0.4362,,0.0,141,141/160,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
